a,No,번호,도서관명,지역,시군구,도서관구분,설립주체,운영방식,개관년도,우편번호,주소,상세주소,홈페이지,전화번호,팩스,주소2,경도,위도,상태
public_lib_1.shp.csv,14,100,갈산도서관,인천,부평구,공공(일반),지자체,위탁,2011,403800,인천광역시 부평구 주부토로,254 (갈산도서관),http://www.bppl.or.kr/gs,032-362-0261,032-362-0230,인천광역시 부평구 주부토로254 (갈산도서관),126.7274281,37.51760682,정좌표
public_lib_1.shp.csv,15,100,감곡도서관,충북,음성군,공공(일반),지자체,직영,2015,27603,충청북도 음성군 감곡면 장감로131번길 8,감곡도서관,http://lib.eumseong.go.kr,043-871-4991,043-877-9660,충청북도 음성군 감곡면 장감로131번길 8감곡도서관,127.637148,37.11964037,정좌표
public_lib_1.shp.csv,16,100,감포도서관,경북,경주시,공공(일반),지자체,직영,1996,38125,경상북도 경주시 감포읍 동해안로 2151,감포읍복지회관 2층 감포도서관,http://library.gyeongju.go.kr,054-779-8912,054-774-8944,경상북도 경주시 감포읍 동해안로 2151감포읍복지회관 2층 감포도서관,129.4931251,35.7990809,정좌표
public_lib_1.shp.csv,17,100,강남 역삼 푸른솔 도서관,서울,강남구,공공(일반),지자체,위탁,2009,135935,서울 강남구 역삼1동,827-61 4층,http://library.gangnam.go.kr/,02-2051-1178,02-2051-1103,서울 강남구 역삼1동827-61 4층,127.0318207,37.49648192,정좌표
public_lib_1.shp.csv,18,100,강남구립못골도서관,서울,강남구,공공(일반),지자체,위탁,2018,6373,서울특별시 강남구 자곡로 116 자곡동,강남구립못골도서관,http://library.gangnam.go.kr/mglib,02-459-5522,02-459-1011,서울특별시 강남구 자곡로 116 자곡동강남구립못골도서관,127.09618,37.47137924,정좌표
public_lib_1.shp.csv,19,100,강남구립열린도서관,서울,강남구,공공(일반),지자체,위탁,2020,6355,서울특별시 강남구 일원로 115 일원동,삼성생명빌딩 B동 203호,https://library.gangnam.go.kr/yllib,02-3412-3970,,서울특별시 강남구 일원로 115 일원동삼성생명빌딩 B동 203호,127.0844595,37.48402197,정좌표
public_lib_1.shp.csv,20,100,강내도서관,충북,청주시,공공(일반),지자체,직영,2016,28172,충청북도 청주시 흥덕구 강내면 가로수로 568,월곡리 229-1 강내도서관,http://library.cheongju.go.kr/lib-gn/index.do,043-201-4192,043-201-0691,충청북도 청주시 흥덕구 강내면 가로수로 568월곡리 229-1 강내도서관,127.3630539,36.62387153,정좌표
public_lib_1.shp.csv,21,100,강동구립강일도서관,서울,강동구,공공(일반),지자체,위탁,2009,134100,서울특별시 강동구 아리수로93길,9 -14 강일동복합청사,http://gdlibrary.or.kr/gilib/,02-427-7676,02-427-0588,서울특별시 강동구 아리수로93길9 -14 강일동복합청사,127.1739073,37.56504077,정좌표
public_lib_1.shp.csv,22,100,강동구립성내도서관,서울,강동구,공공(일반),지자체,위탁,2007,134843,서울특별시 강동구 성안로,106 1 (성내구립도서관),http://www.gdlibrary.or.kr/snlib,02-471-0044,02-471-1072,서울특별시 강동구 성안로106 1 (성내구립도서관),127.1332336,37.53266087,정좌표
public_lib_1.shp.csv,23,100,강동구립암사도서관,서울,강동구,공공(일반),지자체,위탁,2010,5253,서울특별시 강동구 고덕로20길 42 암사동,암사도서관,http://gdlibrary.or.kr/aslib,02-429-0476,02-429-0471,서울특별시 강동구 고덕로20길 42 암사동암사도서관,127.133369,37.55283813,정좌표
public_lib_1.shp.csv,24,100,강동구립천호도서관,서울,강동구,공공(일반),지자체,위탁,2017,5332,서울특별시 강동구 성안로31마길 1 천호동,2층,http://www.gdlibrary.or.kr/chlib,02-488-7223,02-488-7225,서울특별시 강동구 성안로31마길 1 천호동2층,127.1340816,37.54052333,정좌표
public_lib_1.shp.csv,25,100,강동구립해공도서관,서울,강동구,공공(일반),지자체,위탁,2008,5324,서울특별시 강동구 올림픽로 702,해공도서관,http://www.gdlibrary.or.kr/hglib/,02-478-9656,02-478-9658,서울특별시 강동구 올림픽로 702해공도서관,127.1255359,37.54394314,정좌표
public_lib_1.shp.csv,26,100,강릉교육문화관,강원,강릉시,공공(일반),교육청,직영,1990,25592,강원도 강릉시 노암등길 37-1 (노암동),37-1 강릉교육문화관,http://lib.gwe.go.kr/kanglib,033-640-9942,033-640-9905,강원도 강릉시 노암등길 37-1 (노암동)37-1 강릉교육문화관,128.8998458,37.7460087,정좌표
public_lib_1.shp.csv,27,100,강릉시립중앙도서관,강원,강릉시,공공(일반),지자체,직영,1969,25566,강원도 강릉시 강릉대로 448,.,http://www.gnslib.or.kr,033-660-3271,033-640-4760,강원도 강릉시 강릉대로 448.,128.9130079,37.77302571,정좌표
public_lib_1.shp.csv,28,100,강북문화정보도서관,서울,강북구,공공(일반),지자체,위탁,2001,1151,서울특별시 강북구 오현로 145 (번동),145 (강북문화정보도서관),https://www.gblib.or.kr/gangbuk/index.do,02-944-3100,02-944-3139,서울특별시 강북구 오현로 145 (번동)145 (강북문화정보도서관),127.0379712,37.62722507,인근좌표
public_lib_1.shp.csv,29,100,강북청소년문화정보도서관,서울,강북구,공공(일반),지자체,위탁,2001,142816,서울특별시 강북구 삼양로 54길 68,강북청소년문화정보도서관,http://www.gangbuklib.seoul.kr/youth/,02-944-3141,02-944-3149,서울특별시 강북구 삼양로 54길 68강북청소년문화정보도서관,127.0215511,37.62307414,정좌표
public_lib_1.shp.csv,30,100,강서구립 곰달래도서관,서울,강서구,공공(일반),지자체,위탁,2013,157908,서울특별시 강서구,강서로5길50 곰달래문화복지센터 5~6층,http://lib.gangseo.seoul.kr,02-2065-3785,02-2065-3799,서울특별시 강서구강서로5길50 곰달래문화복지센터 5~6층,126.8488976,37.52905938,정좌표
public_lib_1.shp.csv,31,100,강서구립 등빛도서관,서울,강서구,공공(일반),지자체,위탁,2012,7585,서울특별시 강서구 강서로62길 48 등촌동,48,http://lib.gangseo.seoul.kr,02-3664-6990,02-3664-8045,서울특별시 강서구 강서로62길 48 등촌동48,126.8423739,37.56245409,정좌표
public_lib_1.shp.csv,32,100,강서구립가양도서관,서울,강서구,공공(일반),지자체,위탁,2015,157200,서울특별시 강서구 양천로61길,101 강서구립가양도서관,http://lib.gangseo.seoul.kr,02-3665-8797,02-3665-0235,서울특별시 강서구 양천로61길101 강서구립가양도서관,126.8677031,37.56000444,인근좌표
public_lib_1.shp.csv,33,100,강서구립우장산숲속도서관,서울,강서구,공공(일반),지자체,위탁,2009,7690,서울특별시 강서구 우현로 34 (화곡동),1159-4 우장산동주민센터4층,http://lib.gangseo.seoul.kr,02-2696-6690,02-2696-6692,서울특별시 강서구 우현로 34 (화곡동)1159-4 우장산동주민센터4층,126.8418355,37.54828757,정좌표
public_lib_1.shp.csv,34,100,강서영어도서관,서울,강서구,공공(일반),지자체,위탁,2012,157898,서울특별시 강서구 곰달래로57가길,26 화곡4동 주민센터 2층 강서영어도서관,http://lib.gangseo.seoul.kr/,02-2061-2270,02-2061-2276,서울특별시 강서구 곰달래로57가길26 화곡4동 주민센터 2층 강서영어도서관,126.8608018,37.53468572,정좌표
public_lib_1.shp.csv,35,100,강서푸른들청소년도서관,서울,강서구,공공(일반),지자체,위탁,2008,157918,서울특별시 강서구 강서로 45다길 71,강서구립 푸른들청소년도서관,http://lib.gangseo.seoul.kr,02-2691-1630,02-2691-1632,서울특별시 강서구 강서로 45다길 71강서구립 푸른들청소년도서관,126.835182,37.54467538,정좌표
public_lib_1.shp.csv,36,100,강진군도서관,전남,강진군,공공(일반),지자체,직영,1965,59229,전라남도 강진군 강진읍 남문길 10,10,http://www.gjlib.go.kr,061-430-3832,061-430-3839,전라남도 강진군 강진읍 남문길 1010,126.7679917,34.64167317,인근좌표
public_lib_1.shp.csv,37,100,강화군립도서관,인천,강화군,공공(일반),지자체,직영,1994,23032,인천광역시 강화군 강화읍 북문길9번길,18,http://lib.ganghwa.go.kr/,032-932-8264,032-930-3632,인천광역시 강화군 강화읍 북문길9번길18,126.4831684,37.74881266,정좌표
public_lib_1.shp.csv,38,100,개봉도서관,서울,구로구,공공(일반),지자체,위탁,2010,152811,서울특별시 구로구 개봉로16길,30 11 (개봉초등학교),http://lib.guro.go.kr,02-2689-1695,02-2689-1696,서울특별시 구로구 개봉로16길30 11 (개봉초등학교),126.8577408,37.48971086,인근좌표
public_lib_1.shp.csv,39,100,개울건강도서관,서울,양천구,공공(일반),지자체,직영,2009,158857,서울특별시 양천구 중앙로52길,56신정4동,http://lib.yangcheon.go.kr/,02-2696-8910,,서울특별시 양천구 중앙로52길56신정4동,126.8565997,37.52597157,정좌표
public_lib_1.shp.csv,40,100,거마도서관,서울,송파구,공공(일반),지자체,위탁,2005,138814,서울 송파구 거여2동,195-1 거여2동 주민자치센터 4층 거마도서정보센터,http://www.splib.or.kr,02-449-9813,02-449-5932,서울 송파구 거여2동195-1 거여2동 주민자치센터 4층 거마도서정보센터,127.1468129,37.4935446,정좌표
public_lib_1.shp.csv,41,100,거제시립수양도서관,경남,거제시,공공(일반),지자체,직영,2015,656806,경상남도 거제시 제산로5길,26,http://www.lib.geoje.go.kr,055-639-3891,055-639-3899,경상남도 거제시 제산로5길26,128.6469326,34.88777964,정좌표
public_lib_1.shp.csv,42,100,거제시립옥포도서관,경남,거제시,공공(일반),지자체,직영,2010,656908,경상남도 거제시 진목로,20 (거제시립옥포도서관),http://lib.geoje.go.kr/,055-639-3881,055-639-3889,경상남도 거제시 진목로20 (거제시립옥포도서관),128.6875509,34.8970433,정좌표
public_lib_1.shp.csv,43,100,거제시립장승포도서관,경남,거제시,공공(일반),지자체,직영,1994,53318,경상남도 거제시 신부로 36 (장승포동),거제시립장승포도서관,http://lib.geoje.go.kr,055-639-3871,,경상남도 거제시 신부로 36 (장승포동)거제시립장승포도서관,128.7313344,34.86989849,정좌표
public_lib_1.shp.csv,44,100,거제시립장평도서관,경남,거제시,공공(일반),지자체,직영,2012,656926,경상남도 거제시 장평3로,10,http://www.lib.geoje.go.kr,055-639-3861,055-639-3869,경상남도 거제시 장평3로10,128.6093997,34.8894388,정좌표
public_lib_1.shp.csv,45,100,거제시립하청도서관,경남,거제시,공공(일반),지자체,직영,2017,53204,경상남도 거제시 하청면 하청로 12-7,거제시립하청도서관,-,055-639-3921,,경상남도 거제시 하청면 하청로 12-7거제시립하청도서관,128.6551957,34.95533047,정좌표
public_lib_1.shp.csv,46,100,거창군립한마음도서관,경남,거창군,공공(일반),지자체,직영,2006,50130,경상남도 거창군 거창읍 거열로6길 11,거창군립한마음도서관,http://library.geochang.go.kr/,055-940-8470,055-940-8499,경상남도 거창군 거창읍 거열로6길 11거창군립한마음도서관,127.9036747,35.68919326,정좌표
public_lib_1.shp.csv,47,100,검단도서관,인천,서구,공공(일반),지자체,위탁,2004,22633,인천광역시 서구 완정로92번길 18 (마전동),검단도서관,http://www.issl.go.kr,032-561-4117,032-562-0827,인천광역시 서구 완정로92번길 18 (마전동)검단도서관,126.665899,37.60099983,정좌표
public_lib_1.shp.csv,48,100,검암도서관,인천,서구,공공(일반),지자체,위탁,2017,22705,인천광역시 서구 검암로20번길 20 (검암동),인천광역시 서구 검암로20번길 20 (검암동) 검암도서관,http://www.issl.go.kr,032-565-1610,032-565-1617,인천광역시 서구 검암로20번길 20 (검암동)인천광역시 서구 검암로20번길 20 (검암동) 검암도서관,126.683061,37.56608517,정좌표
public_lib_1.shp.csv,49,100,경기과천교육도서관,경기,과천시,공공(일반),교육청,직영,1984,13836,경기도 과천시 도서관길 36 (별양동),36 (경기도립도서관),http://www.kwalib.kr,02-3677-0371,02-504-7532,경기도 과천시 도서관길 36 (별양동)36 (경기도립도서관),126.9966052,37.43232843,인근좌표
public_lib_1.shp.csv,50,100,경기광주교육도서관,경기,광주시,공공(일반),교육청,직영,1990,12761,경기도 광주시 경안안길58번길 3 (경안동),경기도 광주시 경안동 47-1 경기광주교육도서관,http://www.gjlib.or.kr,031-768-6921,031-768-6925,경기도 광주시 경안안길58번길 3 (경안동)경기도 광주시 경안동 47-1 경기광주교육도서관,127.2552972,37.41086844,정좌표
public_lib_1.shp.csv,51,100,경기김포교육도서관,경기,김포시,공공(일반),교육청,직영,1985,10108,경기도 김포시 봉화로 68,경기김포교육도서관,http://www.gimpolib.or.kr,031-985-3536,031-983-3536,경기도 김포시 봉화로 68경기김포교육도서관,126.7113496,37.62117541,정좌표
public_lib_1.shp.csv,52,100,경기성남교육도서관,경기,성남시,공공(일반),교육청,직영,1983,13268,경기도 성남시 수정구 공원로370번길 26 (신흥동),26 (경기성남교육도서관),http://www.snlib.or.kr,031-730-3500,031-734-4395,경기도 성남시 수정구 공원로370번길 26 (신흥동)26 (경기성남교육도서관),127.1520145,37.44774271,인근좌표
public_lib_1.shp.csv,53,100,경기여주가남교육도서관,경기,여주시,공공(일반),교육청,직영,1972,12662,경기도 여주시 가남읍 태평2길 28-7,경기여주가남교육도서관,http://www.gnlib.or.kr,031-882-1066,031-886-2611,경기도 여주시 가남읍 태평2길 28-7경기여주가남교육도서관,127.5459208,37.20463557,정좌표
public_lib_1.shp.csv,54,100,경기의정부교육도서관,경기,의정부시,공공(일반),교육청,직영,2006,11604,경기도 의정부시 체육로 265-25 (녹양동),70-1 번지 (경기도 의정부시 체육로 265-25),http://www.ujblib.or.kr,031-836-9582,031-836-9509,경기도 의정부시 체육로 265-25 (녹양동)70-1 번지 (경기도 의정부시 체육로 265-25),127.0370677,37.76328494,인근좌표
public_lib_1.shp.csv,55,100,경기중앙교육도서관,경기,수원시,공공(일반),교육청,직영,1970,16279,경기도 수원시 장안구 조원로 18 조원동 495,경기중앙교육도서관,http://www.gglib.or.kr,031-240-4064,031-245-3681,경기도 수원시 장안구 조원로 18 조원동 495경기중앙교육도서관,127.0232364,37.29742814,정좌표
public_lib_1.shp.csv,56,100,경기평생교육학습관,경기,수원시,공공(일반),교육청,직영,2008,16557,경기도 수원시 권선구 권중로 55 (권선동),경기평생교육학습관,http://www.gglec.go.kr/,031-259-1028,031-259-1039,경기도 수원시 권선구 권중로 55 (권선동)경기평생교육학습관,127.0321621,37.25229829,정좌표
public_lib_1.shp.csv,57,100,경기평택교육도서관,경기,평택시,공공(일반),교육청,직영,1986,17764,경기도 평택시 서정북로 125번길 103 (서정동 770번지),서정북로 125번길 103 (서정동 770번지),http://www.ptlib.or.kr,031-665-4208,031-667-6548,경기도 평택시 서정북로 125번길 103 (서정동 770번지)서정북로 125번길 103 (서정동 770번지),127.0632238,37.07284234,정좌표
public_lib_1.shp.csv,58,100,경기포천교육도서관,경기,포천시,공공(일반),교육청,직영,1989,487803,경기도 포천시 신읍동,33중앙로 92-6,http://www.pclib.or.kr,031-531-8751,031-531-8754,경기도 포천시 신읍동33중앙로 92-6,127.2017931,37.89452984,정좌표
public_lib_1.shp.csv,59,100,경기화성교육도서관,경기,화성시,공공(일반),교육청,직영,2006,18592,경기도 화성시 향남읍 발안로 85-10,경기도 화성시 향남읍 도이리 203-12 경기화성교육도서관,http://hslib.or.kr/,031-369-5700,031-366-2936,경기도 화성시 향남읍 발안로 85-10경기도 화성시 향남읍 도이리 203-12 경기화성교육도서관,126.9202068,37.13314256,정좌표
public_lib_1.shp.csv,60,100,경남대표도서관,경남,창원시,공공(일반),지자체,직영,2018,51138,경상남도 창원시 의창구 사림로45번길 59 사림동,경남대표도서관,http://lib.gyeongnam.go.kr,055-254-4831,055-254-4839,경상남도 창원시 의창구 사림로45번길 59 사림동경남대표도서관,128.6813227,35.24977548,정좌표
public_lib_1.shp.csv,61,100,경북도서관,경북,예천군,공공(일반),지자체,직영,2019,36849,경상북도 예천군 호명면 도청대로 200,경북도서관,https://lib.gb.go.kr/,054-650-3923,054-650-3919,경상북도 예천군 호명면 도청대로 200경북도서관,128.487952,36.57450046,정좌표
public_lib_1.shp.csv,62,100,경산도서관,경북,경산시,공공(일반),지자체,직영,1968,712010,경상북도 경산시 장산로23길,23,http://lib.gbgs.kr,053-811-2240,,경상북도 경산시 장산로23길23,128.7355098,35.81834641,정좌표
public_lib_1.shp.csv,63,100,경산시립도서관,경북,경산시,공공(일반),지자체,직영,2007,38431,경상북도 경산시 하양읍 문화로10길 15,문화로 10길 15(금락리 97번지),http://lib.gbgs.go.kr,053-853-8659,053-853-8660,경상북도 경산시 하양읍 문화로10길 15문화로 10길 15(금락리 97번지),128.8129434,35.91321039,정좌표
public_lib_1.shp.csv,64,100,경산시립장산도서관,경북,경산시,공공(일반),지자체,직영,2017,38687,경상북도 경산시 경산로13길 7 (옥곡동),경산시립장산도서관,http://lib.gbgs.go.kr,053-816-2240,053-801-2240,경상북도 경산시 경산로13길 7 (옥곡동)경산시립장산도서관,128.7303644,35.81451799,정좌표
public_lib_1.shp.csv,65,100,경상남도교육청 거제도서관,경남,거제시,공공(일반),교육청,직영,1976,53257,경상남도 거제시 계룡로7길 2,거제도서관,http://gjlib.gne.go.kr,055-637-6311,055-636-9213,경상남도 거제시 계룡로7길 2거제도서관,128.6228971,34.87899714,정좌표
public_lib_1.shp.csv,66,100,경상남도교육청 거창도서관,경남,거창군,공공(일반),교육청,직영,1984,50133,경상남도 거창군 거창읍 하동1길 9,경상남도교육청 거창도서관,http://gclib.gne.go.kr,055-944-8594,055-943-6052,경상남도 거창군 거창읍 하동1길 9경상남도교육청 거창도서관,127.9115397,35.68718755,정좌표
public_lib_1.shp.csv,67,100,경상남도교육청 고성도서관,경남,고성군,공공(일반),교육청,직영,1990,52937,경상남도 고성군 고성읍 동외로195번길 6,경상남도교육청 고성도서관,http://gslib.gne.go.kr,055-673-8437,055-673-8464,경상남도 고성군 고성읍 동외로195번길 6경상남도교육청 고성도서관,128.3263213,34.97925109,정좌표
public_lib_1.shp.csv,68,100,경상남도교육청 김해도서관,경남,김해시,공공(일반),교육청,직영,1985,50918,경상남도 김해시 가락로 93번길 72,경상남도교육청 김해도서관,http://ghlib.gne.go.kr,055-320-5564,055-320-5574,경상남도 김해시 가락로 93번길 72경상남도교육청 김해도서관,128.8742536,35.2331251,정좌표
public_lib_1.shp.csv,69,100,경상남도교육청 남지도서관,경남,창녕군,공공(일반),교육청,직영,1993,50355,경상남도 창녕군 남지읍 낙동로 437,경상남도교육청 남지도서관,http://njlib.gne.go.kr,055-526-1490,055-526-1473,경상남도 창녕군 남지읍 낙동로 437경상남도교육청 남지도서관,128.4727989,35.38867829,정좌표
public_lib_1.shp.csv,70,100,경상남도교육청 남해도서관,경남,남해군,공공(일반),교육청,직영,1972,52427,경상남도 남해군 남해읍 화전로43번길 11-3,경상남도교육청 남해도서관,http://nhlib.gne.go.kr,055-864-0973,055-864-2074,경상남도 남해군 남해읍 화전로43번길 11-3경상남도교육청 남해도서관,127.8948355,34.83437007,정좌표
public_lib_1.shp.csv,71,100,경상남도교육청 마산도서관,경남,창원시,공공(일반),교육청,직영,1954,51334,경상남도 창원시 마산합포구 용마산길 12,경상남도교육청 마산도서관,http://mslib.gne.go.kr,055-240-4521,055-240-4568,경상남도 창원시 마산합포구 용마산길 12경상남도교육청 마산도서관,128.5851056,35.21343487,정좌표
public_lib_1.shp.csv,72,100,경상남도교육청 마산도서관 지혜의바다분관,경남,창원시,공공(일반),교육청,직영,2018,51203,경상남도 창원시 마산회원구 구암북12길 24,경상남도교육청 마산도서관 지혜의바다분관,http://jhlib.gne.go.kr/,055-252-3860,055-252-3865,경상남도 창원시 마산회원구 구암북12길 24경상남도교육청 마산도서관 지혜의바다분관,128.5974514,35.25664911,정좌표
public_lib_1.shp.csv,73,100,경상남도교육청 밀양도서관,경남,밀양시,공공(일반),교육청,직영,1973,50467,경상남도 밀양시 삼랑진읍 만어로 7,경상남도교육청 밀양도서관,http://mrlib.gne.go.kr,055-353-6977,055-356-8048,경상남도 밀양시 삼랑진읍 만어로 7경상남도교육청 밀양도서관,128.8413807,35.40009077,정좌표
public_lib_1.shp.csv,74,100,경상남도교육청 사천도서관,경남,사천시,공공(일반),교육청,직영,1991,52518,경상남도 사천시 사천읍 평화2길 21,경상남도교육청 사천도서관,http://salib.gne.go.kr,055-853-8402,055-855-7740,경상남도 사천시 사천읍 평화2길 21경상남도교육청 사천도서관,128.0873583,35.08367415,정좌표
public_lib_1.shp.csv,75,100,경상남도교육청 산청도서관,경남,산청군,공공(일반),교육청,직영,1984,52220,경상남도 산청군 산청읍 꽃봉산로79번길 45,산청도서관,http://sanlib.gne.go.kr,055-973-2544,055-973-2711,경상남도 산청군 산청읍 꽃봉산로79번길 45산청도서관,127.8763761,35.41684767,정좌표
public_lib_1.shp.csv,76,100,경상남도교육청 삼천포도서관,경남,사천시,공공(일반),교육청,직영,1990,52553,경상남도 사천시 삼천포대교로 622,경상남도교육청 삼천포도서관,http://scplib.gne.go.kr,055-835-4436,055-834-8928,경상남도 사천시 삼천포대교로 622경상남도교육청 삼천포도서관,128.0773842,34.9534768,정좌표
public_lib_1.shp.csv,77,100,경상남도교육청 양산도서관,경남,양산시,공공(일반),교육청,직영,1992,50617,경상남도 양산시 희망1길 25,경상남도교육청 양산도서관,http://yslib.gne.go.kr,055-385-7056,055-385-7006,경상남도 양산시 희망1길 25경상남도교육청 양산도서관,129.0439505,35.34777883,정좌표
public_lib_1.shp.csv,78,100,경상남도교육청 의령도서관,경남,의령군,공공(일반),교육청,직영,1974,52143,경상남도 의령군 의령읍 의병로25길 9-8,의령도서관,http://urlib.gne.go.kr,055-572-0941,055-573-0890,경상남도 의령군 의령읍 의병로25길 9-8의령도서관,128.2667283,35.3197983,정좌표
public_lib_1.shp.csv,79,100,경상남도교육청 진동도서관,경남,창원시,공공(일반),교육청,직영,1993,51793,경상남도 창원시 마산합포구 진동면 삼진의거대로 661-94,경상남도교육청 진동도서관,http://jdlib.gne.go.kr,055-271-8145,055-271-0351,경상남도 창원시 마산합포구 진동면 삼진의거대로 661-94경상남도교육청 진동도서관,128.4897783,35.1193281,정좌표
public_lib_1.shp.csv,80,100,경상남도교육청 진양도서관,경남,진주시,공공(일반),교육청,직영,1992,52834,경상남도 진주시 문산읍 동부로588번길 24,경상남도교육청 진양도서관,http://jinlib.gne.go.kr/,055-761-2722,055-761-9606,경상남도 진주시 문산읍 동부로588번길 24경상남도교육청 진양도서관,128.1660134,35.16707553,정좌표
public_lib_1.shp.csv,81,100,경상남도교육청 진영도서관,경남,김해시,공공(일반),교육청,직영,1990,50864,경상남도 김해시 진영읍 진영로265번길 9-61,경상남도교육청 진영도서관,http://jylib.gne.go.kr,055-345-1995,055-342-1451,경상남도 김해시 진영읍 진영로265번길 9-61경상남도교육청 진영도서관,128.741407,35.3047878,정좌표
public_lib_1.shp.csv,82,100,경상남도교육청 창녕도서관,경남,창녕군,공공(일반),교육청,직영,1972,50331,경상남도 창녕군 창녕읍 남창녕로 52,경상남도교육청 창녕도서관,http://cnlib.gne.go.kr,055-532-9504,055-532-9507,경상남도 창녕군 창녕읍 남창녕로 52경상남도교육청 창녕도서관,128.5028686,35.53582748,정좌표
public_lib_1.shp.csv,83,100,경상남도교육청 창원도서관,경남,창원시,공공(일반),교육청,직영,1983,51519,경상남도 창원시 성산구 두대로 203,경상남도교육청 창원도서관,http://cwlib.gne.go.kr,055-278-2831,055-278-2835,경상남도 창원시 성산구 두대로 203경상남도교육청 창원도서관,128.6638585,35.22427152,정좌표
public_lib_1.shp.csv,84,100,경상남도교육청 통영도서관,경남,통영시,공공(일반),교육청,직영,1963,53077,경상남도 통영시 봉수로 37,경상남도교육청 통영도서관,http://tylib.gne.go.kr/,055-648-8093,055-648-1608,경상남도 통영시 봉수로 37경상남도교육청 통영도서관,128.42058,34.83412797,정좌표
