aa,No,번호,도서관명,지역,시군구,도서관구분,설립주체,운영방식,개관년도,우편번호,주소,상세주소,홈페이지,전화번호,팩스,주소2,경도,위도,상태
research_lib_1.shp.csv,18,100,NHN LIBRARY 1,경기,성남시,전문,민간,-,1967,16247,경기 성남시 분당구 정자동,"178-1 NHN 그린팩토리 1,2층",http://library1.nhncorp.com,031-784-4898,031-784-1000,"경기 성남시 분당구 정자동178-1 NHN 그린팩토리 1,2층",127.105189,37.35950706,정좌표
research_lib_1.shp.csv,19,100,SK케미칼연구소도서실,경기,수원시,전문,민간,-,-,480130,수원시 장안구 정자동 ,600,-,031-240-8311,031-245-1192,수원시 장안구 정자동 600,126.9821696,37.30754859,인근좌표
research_lib_1.shp.csv,20,100,가톨릭대성빈센트병원 도서실,경기,수원시,전문,민간,-,1970,14647,경기도 수원시 팔달구 중부대로 93 (지동),가톨릭대학교 성빈센트병원 별관 1층 의학도서실,http://www.cmcvincent.or.kr/,031-249-7748,031-258-2723,경기도 수원시 팔달구 중부대로 93 (지동)가톨릭대학교 성빈센트병원 별관 1층 의학도서실,127.0274499,37.27792307,정좌표
research_lib_1.shp.csv,21,100,가톨릭대의정부성모병원 도서실,경기,의정부시,전문,민간,-,1963,442781,의정부시 금오동 ,Jan-65,-,031) 820-3538,031) 847-2934,의정부시 금오동 65-1,127.0776903,37.75835589,정좌표
research_lib_1.shp.csv,22,100,가톨릭대학교 부천성모병원 의학정보실,경기,부천시,전문,민간,-,-,440210,경기도 부천시 소사로 327 소사동,327,http://cmcbclib.futurenuri.co.kr/,032-340-2209,032-340-2669,경기도 부천시 소사로 327 소사동327,126.7927117,37.48672551,정좌표
research_lib_1.shp.csv,23,100,경기도 행정도서관,경기,수원시,전문,공공,-,1962,440845,경기도 수원시 팔달구 효원로,1 (경기도청),-,031-8008-3759,031-8008-2158,경기도 수원시 팔달구 효원로1 (경기도청),127.0087455,37.27597203,정좌표
research_lib_1.shp.csv,24,100,경기도과학교육원 도서실,경기,수원시,전문,공공,-,2007,440843,수원시 장안구 송죽동 ,산26,-,031) 2501-753(716),031) 251-3548,수원시 장안구 송죽동 산26,127.007635,37.31114475,인근좌표
research_lib_1.shp.csv,25,100,경기도교육정보연구원 문헌자료실,경기,수원시,전문,공공,-,1996,446905,수원시 장안구 조원동 ,536-19,http://www.kerinet.re.kr,031) 249-0726,031) 249-0723,수원시 장안구 조원동 536-19,127.0169217,37.29558741,인근좌표
research_lib_1.shp.csv,26,100,경기도교육청 기록관,경기,수원시,전문,공공,-,2001,16258,경기 수원시 장안구 조원동,조원로 18 경기도교육정보기록원,http://www.goeia.go.kr,031) 240-6346,031) 240-6349,경기 수원시 장안구 조원동조원로 18 경기도교육정보기록원,127.0232364,37.29742814,정좌표
research_lib_1.shp.csv,27,100,경기도박물관 자료실,경기,용인시,전문,공공,-,1997,451882,용인시 기흥구 상갈동 ,85,-,031-783-0627,,용인시 기흥구 상갈동 85,127.1077546,37.26817873,인근좌표
research_lib_1.shp.csv,28,100,경기도사이버도서관,경기,수원시,전문,공공,-,-,413871,경기도 수원시 팔달구 신풍로23번길 68 신풍동,1층 경기도사이버도서관,https://www.library.kr/cyber/index.do,031-248-9890,031-246-4021,경기도 수원시 팔달구 신풍로23번길 68 신풍동1층 경기도사이버도서관,127.0104322,37.28386169,정좌표
research_lib_1.shp.csv,29,100,경기도외국어교육연수원 도서실,경기,평택시,전문,공공,-,-,442835,평택시 안중읍 학현리 ,09월 26일,www.gifle.go.kr,031) 680-3634,031) 680-3633,평택시 안중읍 학현리 9-26 ,126.930885,36.99425059,정좌표
research_lib_1.shp.csv,30,100,경기도율곡교육연수원 도서실,경기,파주시,전문,공공,-,1996,16207,파주시 법원읍 동문리 ,산25,-,031) 950-0037,031) 959-2512,파주시 법원읍 동문리 산25,126.8723128,37.86511384,정좌표
research_lib_1.shp.csv,31,100,경기문화재단 경기문화예술자료실,경기,수원시,전문,공공,-,-,449860,수원시 팔달구 인계동 ,1116  6층,-,031) 231-7281,031) 236-0223,수원시 팔달구 인계동 1116  6층,127.0359648,37.2658873,정좌표
research_lib_1.shp.csv,32,100,경기연구원 자료실,경기,수원시,전문,공공,-,-,431804,경기도 수원시 장안구 경수대로 1150 (파장동),신관 2층 경기연구원 정보자료실,http://library.gri.re.kr/,031-250-3261,031-250-3250,경기도 수원시 장안구 경수대로 1150 (파장동)신관 2층 경기연구원 정보자료실,126.9890396,37.31424954,정좌표
research_lib_1.shp.csv,33,100,고등기술연구원 정보자료실,경기,용인시,전문,민간,-,2007,12774,용인시 백암면 ,633-2,-,031) 330-7213,031) 330-7117,용인시 백암면 633-2,127.3737883,37.16507262,정좌표
research_lib_1.shp.csv,34,100,고려개발㈜ 자료실,경기,안양시,전문,민간,-,1945,427715,안양시 동안구 관양2동 ,954-2,-,031) 420-9932,031) 420-9026,안양시 동안구 관양2동 954-2,126.9737412,37.39296288,인근좌표
research_lib_1.shp.csv,35,100,고용노동연수원 자료실,경기,광주시,전문,공공,-,1972,427070,경기도 광주시 오포읍 봉골길 229,"(문형리, 고용노동연수원)",http://eltilibrary.koreatech.ac.kr,031-760-7806,031-760-7823,"경기도 광주시 오포읍 봉골길 229(문형리, 고용노동연수원)",127.1928608,37.36539574,정좌표
research_lib_1.shp.csv,36,100,교육과학기술정보 디지털도서관,경기,과천시,전문,공공,-,-,463040,과천시 중앙동 ,1,-,02) 2110-3840,,과천시 중앙동 1,126.9840709,37.42698065,정좌표
research_lib_1.shp.csv,37,100,국군1363부대,경기,과천시,전문,공공,-,2003,487821,경기 과천시 주암동,300번지,-,02-731-5441,,경기 과천시 주암동300번지,127.0260306,37.45081053,정좌표
research_lib_1.shp.csv,38,100,국군의무사령부 자료실,경기,성남시,전문,민간,-,1981,13829,성남시 분당구 율동 ,산13-4 사서함 100호,-,031) 725-5316,031) 902-2222,성남시 분당구 율동 산13-4 사서함 100호,127.1515647,37.39046859,인근좌표
research_lib_1.shp.csv,39,100,국립수목원 도서실,경기,포천시,전문,공공,-,2000,411719,포천군 소흘읍 직동리 ,Jul-51,-,031) 540-2039,031) 540-1049,포천군 소흘읍 직동리 51-7,127.1647279,37.7555171,정좌표
research_lib_1.shp.csv,40,100,국립현대미술관 미술도서실,경기,과천시,전문,공공,-,1946,427010,경기도 과천시 광명로 313 막계동,313 국립현대미술관,http://www.mmca.go.kr/,02-2188-6056,02-2188-6126,경기도 과천시 광명로 313 막계동313 국립현대미술관,127.0199301,37.43100365,정좌표
research_lib_1.shp.csv,41,100,국민건강보험공단일산병원의학도서실,경기,고양시,전문,공공,-,2007,415020,고양시 일산구 백석동 ,1232,www.medicalinfo.or.kr,031-900-3396,031-900-3399,고양시 일산구 백석동 1232,126.7927854,37.64557285,정좌표
research_lib_1.shp.csv,42,100,국사편찬위원회 자료정보실,경기,과천시,전문,공공,-,1982,427718,과천시 중앙동  ,2-6 국사편찬위원회,http://www.history.go.kr,02) 500-8244,02) 503-8857,과천시 중앙동  2-6 국사편찬위원회,126.9796896,37.42415138,정좌표
research_lib_1.shp.csv,43,100,김포우리병원 의학도서관,경기,김포시,전문,민간,-,-,441450,경기 김포시 걸포동,389-15,http://gwhospital.co.kr,031) 999-1928,031) 999-1899,경기 김포시 걸포동389-15,126.7107392,37.63208434,정좌표
research_lib_1.shp.csv,44,100,노동부 자료관,경기,과천시,전문,공공,-,2002,469861,경기 과천시 중앙동 노동부,정부제2종합청사내 3동 B105호 노동부자료관실,http://125.60.1.62/opweb/,02) 504-4335,,경기 과천시 중앙동 노동부정부제2종합청사내 3동 B105호 노동부자료관실,126.9778084,37.42476739,정좌표
research_lib_1.shp.csv,45,100,농업과학기술원 농업환경관,경기,수원시,전문,공공,-,1998,463774,수원시 권선구 수인로 ,150 농업과학기술원 ,-,031-290-0161,031-290-0105,수원시 권선구 수인로 150 농업과학기술원 ,126.9796607,37.27421516,인근좌표
research_lib_1.shp.csv,46,100,대순진리회 중앙도서관,경기,여주군,전문,민간,-,1988,449800,여주시 강천면 가야리 ,650-2 대순진리회 중앙도서관,-,031) 887-9311,031) 887-9345,여주시 강천면 가야리 650-2 대순진리회 중앙도서관,127.6914252,37.27718945,정좌표
research_lib_1.shp.csv,47,100,대진의료재단 분당제생병원 의학도서실,경기,성남시,전문,민간,-,-,445960,성남시 분당구 서현동 ,255-2 분당제생병원 도서실(별관3층),http://cafe.daum.net/medlib0457,031-779-0457,031-779-0459,성남시 분당구 서현동 255-2 분당제생병원 도서실(별관3층),127.1216011,37.38812246,정좌표
research_lib_1.shp.csv,48,100,대한지적공사 지적연수원 도서실,경기,용인시,전문,공공,-,-,449905,용인시 운학동 ,624,http://www.kcscctti.co.kr,031) 8006-7000,031) 8006-7029,용인시 운학동 624,127.2300921,37.22148822,정좌표
research_lib_1.shp.csv,49,100,동부한농화학농업기술연구소도서실,경기,화성시,전문,민간,-,1998,413874,화성시 정남면 보통리 ,175-1,-,031) 354-6810,031) 354-6820,화성시 정남면 보통리 175-1,126.9787901,37.18673209,정좌표
research_lib_1.shp.csv,50,100,동아제약연구소도서실,경기,용인시,전문,민간,-,0,420860,용인시 기흥구 상갈동 ,May-47,-,031-280-1312,031-282-9064,용인시 기흥구 상갈동 47-5,127.1082497,37.26512067,정좌표
research_lib_1.shp.csv,51,100,두루뫼박물관,경기,파주시,전문,민간,-,1979,427720,파주시 법원읍 법원4리 ,139-5,durumea.org,031) 958 - 6101,031) 958 - 7433,파주시 법원읍 법원4리 139-5,126.9439563,37.86849323,정좌표
research_lib_1.shp.csv,52,100,뮤지엄만화규장각,경기,부천시,전문,민간,-,-,449776,경기도 부천시 원미구 길주로,1 한국만화박물관 2층,"http://www.komacon.kr/main/index.asp, http://www.comicslib.org/",032-310-3101,,경기도 부천시 원미구 길주로1 한국만화박물관 2층,126.7453855,37.50751177,정좌표
research_lib_1.shp.csv,53,100,법무부 도서실,경기,과천시,전문,공공,-,-,440816,과천시 중앙동 ,1 정부종합청사,-,02) 2110-3481,,과천시 중앙동 1 정부종합청사,126.9840709,37.42698065,정좌표
research_lib_1.shp.csv,54,100,법무연수원 도서실,경기,용인시,전문,공공,-,-,442190,용인시 구성면 언남동 ,39,-,031) 288-2258,031) 281-3143,용인시 구성면 언남동 39,127.1372019,37.29341524,정좌표
research_lib_1.shp.csv,55,100,보훈교육연구원 도서자료실,경기,수원시,전문,공공,-,2005,421705,수원시 장안구 영화동 ,1,-,031) 244-8191,031) 250-1589,수원시 장안구 영화동 1,127.0251954,37.29707373,정좌표
research_lib_1.shp.csv,56,100,봉녕사소요삼장도서관,경기,수원시,전문,민간,-,1999,420812,수원시 팔달구 우만동 ,248,-,031) 254-3371,031) 254-3371,수원시 팔달구 우만동 248,127.0380244,37.29092973,정좌표
research_lib_1.shp.csv,57,100,부천문화재단 판타스틱시네마테크,경기,부천시,전문,공공,-,2003,463707,부천시 오정구 오정동 ,오정구청 5층 한국영상자료원,-,032-684-3147,032-683-6213,부천시 오정구 오정동 오정구청 5층 한국영상자료원,126.9296223,35.77149951,정좌표
research_lib_1.shp.csv,58,100,부천시보육정보센터 유아전문도서관,경기,부천시,전문,공공,-,-,463856,부천시 원미구 상1동 ,394-2번지 복사골문화센터 1층 부천시보육정보센터,-,032-322-8686,032-326-8023,부천시 원미구 상1동 394-2번지 복사골문화센터 1층 부천시보육정보센터,126.7823518,37.5062503,인근좌표
research_lib_1.shp.csv,59,100,분당서울대병원 의학자료정보센터,경기,성남시,전문,공공,-,-,411837,성남시 분당구 구미동 ,300번지,-,031)787-1234,031)787-4044,성남시 분당구 구미동 300번지,127.12421,37.34977827,정좌표
research_lib_1.shp.csv,60,100,분당환경시민의모임 도서관,경기,성남시,전문,민간,-,0,449742,성남시 분당구 야탑동 ,285-8,-,031-702-5610,031-709-8387,성남시 분당구 야탑동 285-8,127.1358829,37.41229981,정좌표
research_lib_1.shp.csv,61,100,사법연수원 도서실,경기,고양시,전문,공공,-,0,449712,고양시 일산구 장항2동 ,872,-,031) 920-3191,031) 920-3239,고양시 일산구 장항2동 872,126.7727109,37.65187863,정좌표
research_lib_1.shp.csv,62,100,삼성전자 수원 정보자료실,경기,용인시,전문,민간,-,1980,412110,수원시 팔달구 매탄동,416,-,031-279-8542,,수원시 팔달구 매탄동416,127.0511166,37.2558352,정좌표
research_lib_1.shp.csv,63,100,삼성종합기술원 도서실,경기,용인시,전문,민간,-,1984,462100,용인시 기흥읍 농서리 ,산14,-,031-280-6509,,용인시 기흥읍 농서리 산14,127.1720721,37.2117306,정좌표
research_lib_1.shp.csv,64,100,서호도서관,경기,고양시,전문,민간,-,1995,446902,고양시 덕양구 용두동 ,산30-49,-,02) 354-5007,02) 382-2877,고양시 덕양구 용두동 산30-49,126.8993201,37.62330439,인근좌표
research_lib_1.shp.csv,65,100,성남시청 행정자료실,경기,성남시,전문,공공,-,-,422711,경기 성남시 중원구 여수동,200번지(성남대로 997),www.seongnam.go.kr,031-729-2214,031-729-2199,경기 성남시 중원구 여수동200번지(성남대로 997),127.1263986,37.41987788,정좌표
research_lib_1.shp.csv,66,100,성서학도서관,경기,용인시,전문,민간,-,-,443704,경기도 용인시 기흥구 한보라2로,197 (대한성서공회 반포센타),http://www.bskorea.or.kr/organ/pds/default.aspx,02) 2103-8802,02) 2103-8897,경기도 용인시 기흥구 한보라2로197 (대한성서공회 반포센타),127.1055083,37.24246294,정좌표
research_lib_1.shp.csv,67,100,세종병원도서실(혜원의료재단),경기,부천시,전문,민간,-,1988,463400,부천시 소사구 소사본2동 ,91-121,-,032-340-1812,032-340-1236,부천시 소사구 소사본2동 91-121,126.7823518,37.5062503,인근좌표
research_lib_1.shp.csv,68,100,수원지방법원 자료실,경기,수원시,전문,공공,-,1945,411410,수원시 영통구 원천동 ,80,-,031-210-1117,031-216-6295,수원시 영통구 원천동 80,127.052771,37.27634412,정좌표
research_lib_1.shp.csv,69,100,시공테크 전시 전문도서관,경기,성남시,전문,민간,-,1989,459711,경기도 성남시 분당구,판교역로 225-20 시공빌딩,http://www.sigongtech.co.kr,02-3438-0079,02-3438-0246,경기도 성남시 분당구판교역로 225-20 시공빌딩,127.1080696,37.40008145,정좌표
research_lib_1.shp.csv,70,100,시설안전기술공단 자료실,경기,고양시,전문,공공,-,1986,437080,고양시 일산구 대화동 ,2311,-,031) 910-4164,031) 910-4183,고양시 일산구 대화동 2311,126.7402714,37.67162196,정좌표
research_lib_1.shp.csv,71,100,쌍용자동차 자료실,경기,평택시,전문,민간,-,1980,448170,평택시 칠괴동 ,150-3 쌍용자동차 기술관리팀,-,031-610-3189,,평택시 칠괴동 150-3 쌍용자동차 기술관리팀,127.0942447,37.02756883,정좌표
research_lib_1.shp.csv,72,100,에너지경제연구원 자료실,경기,의왕시,전문,공공,-,1988,17089,경기 의왕시 내손동,665-1,http://library.keei.re.kr/,031-420-2197,031-421-0414,경기 의왕시 내손동665-1,126.9853182,37.38594183,정좌표
research_lib_1.shp.csv,73,100,에너지관리공단 자료실,경기,용인시,전문,공공,-,0,456824,경기 용인시 수지구 풍덕천2동 ,1157,http://lib.kemco.or.kr,031-260-4574,031-260-4559,경기 용인시 수지구 풍덕천2동 1157,127.0944693,37.31846046,정좌표
research_lib_1.shp.csv,74,100,용인정신병원의학도서실,경기,용인시,전문,민간,-,-,446796,경기도 용인시 기흥구 중부대로 940 (상하동),신관 3층 의학도서실,http://yonginmh.egentouch.com/main.do?action=main,031-288-0273,031-288-0184,경기도 용인시 기흥구 중부대로 940 (상하동)신관 3층 의학도서실,127.1545301,37.25103744,정좌표
research_lib_1.shp.csv,75,100,워치타워성서책자협회 도서실,경기,안성시,전문,민간,-,0,441350,안성시 공도읍 양기리 ,377,-,031) 690-0033,031) 618-1914,안성시 공도읍 양기리 377 ,127.1957672,37.00102737,정좌표
research_lib_1.shp.csv,76,100,유한양행 중앙연구소 자료실,경기,용인시,전문,민간,-,1991,463020,용인시 기흥구 공세동 ,416-1 유한양행 중앙연구소,-,031-899-4010,031-275-6147,용인시 기흥구 공세동 416-1 유한양행 중앙연구소,127.1102235,37.24124812,정좌표
research_lib_1.shp.csv,77,100,임업연구원 임목육종부 도서실,경기,수원시,전문,공공,-,-,472812,수원시 권선구 오목천동 ,Mar-44,-,031) 290-1181,031) 292-4458,수원시 권선구 오목천동 44-3,126.959787,37.25123076,정좌표
research_lib_1.shp.csv,78,100,㈜서영엔지니어링 자료실,경기,성남시,전문,민간,-,1964,427726,경기 성남시 분당구 수내동,6-3 서영빌딩,-,02) 6915-7024,02) 6915-7597,경기 성남시 분당구 수내동6-3 서영빌딩,127.1170047,37.37941387,정좌표
research_lib_1.shp.csv,79,100,중앙119구조대 도서실,경기,남양주시,전문,공공,-,-,427727,남양주시 별내면 덕송1리 ,190-2,-,031) 570-2034,031) 529-1119,남양주시 별내면 덕송1리 190-2,127.1316956,37.71420459,정좌표
research_lib_1.shp.csv,80,100,중앙공무원교육원 교육정보자료실,경기,과천시,전문,공공,-,1999,449844,경기 과천시 중앙동 중앙공무원교육원,2번지(교육원로118),http//lib.coti.go.kr,02-500-8526,02-500-8695,경기 과천시 중앙동 중앙공무원교육원2번지(교육원로118),126.9778084,37.42476739,정좌표
research_lib_1.shp.csv,81,100,중앙선거관리위원회 자료실,경기,과천시,전문,공공,-,1950,440711,과천시 중앙동 ,02월 03일,-,02) 504-2762,02) 507-4213,과천시 중앙동 2-3,126.9797748,37.42557408,정좌표
research_lib_1.shp.csv,82,100,지구촌교회 지혜의샘터도서관,경기,용인시,전문,민간,-,-,440711,용인시 수지구 신봉동 ,01월 01일,-,031-270-8296,02) 264-9200,용인시 수지구 신봉동 1-1,127.082836,37.32293521,정좌표
research_lib_1.shp.csv,83,100,지방행정연수원 도서관,경기,수원시,전문,공공,-,1995,13496,경기 수원시 장안구 파장동 지방행정연수원,184,-,031) 250-5361,031) 250-5369,경기 수원시 장안구 파장동 지방행정연수원184,126.9908232,37.31568835,정좌표
research_lib_1.shp.csv,84,100,지방혁신인력개발원 도서관,경기,수원시,전문,공공,-,0,441706,수원시 장안구 파장동 ,184,-,031) 250-5361,031) 250-5369,수원시 장안구 파장동 184,126.9908232,37.31568835,정좌표
research_lib_1.shp.csv,85,100,차의과학대학교 분당차병원 의학도서실,경기,성남시,전문,민간,-,0,435010,경기도 성남시 분당구 야탑로 59 야탑동,분당차병원 본원 B2 도서실,http://cha.futurenuri.co.kr/,031-780-5040,031-780-5045,경기도 성남시 분당구 야탑로 59 야탑동분당차병원 본원 B2 도서실,127.1253275,37.4098024,정좌표
research_lib_1.shp.csv,86,100,축산과학원 도서실,경기,수원시,전문,공공,-,-,463712,수원시 권선구 축산길 ,77,-,031) 290-1748,031) 290-1598,수원시 권선구 축산길 77,127.3024516,36.43680705,인근좌표
research_lib_1.shp.csv,87,100,축산물품질평가원 자료실 (구 축산물등급판정소),경기,군포시,전문,공공,-,-,463754,군포시 당동 ,424-6 2층,-,031) 390-5565,031) 390-5597,군포시 당동 424-6 2층,126.9419042,37.34609902,인근좌표
research_lib_1.shp.csv,88,100,포천중문의과대분당차병원도서실,경기,성남시,전문,민간,-,-,425790,성남시 분당구 야탑동 ,351번지,-,031-780-5040,031-780-5045,성남시 분당구 야탑동 351번지,127.1252272,37.41024146,정좌표
research_lib_1.shp.csv,89,100,한국가스공사 자료실,경기,성남시,전문,공공,-,0,429712,성남시 분당구 정자동 ,215 한국가스공사,-,031)710-0983,031)710-0984,성남시 분당구 정자동 215 한국가스공사,127.1172045,37.35509338,정좌표
research_lib_1.shp.csv,90,100,한국가스공사연구원자료실,경기,안산시,전문,공공,-,1983,411712,안산시 일동 ,638-1,-,031) 400-7459,031) 406-2645,안산시 일동 638-1,126.8742581,37.30687135,정좌표
research_lib_1.shp.csv,91,100,한국가스안전공사 자료실,경기,시흥시,전문,공공,-,0,461370,시흥시 대야동 ,332-1,-,031) 310-1266,031) 315-4362,시흥시 대야동 332-1,126.7849885,37.4492243,정좌표
research_lib_1.shp.csv,92,100,한국건설기술연구원 건설정보관,경기,고양시,전문,공공,-,0,461210,고양시 일산서구 대화동 ,2311,www.codil.or.kr / kict.codil.or.kr,031-910-0081~2,031-910-0071,고양시 일산서구 대화동 2311,126.7402714,37.67162196,정좌표
research_lib_1.shp.csv,93,100,한국국제협력단 자료실,경기,성남시,전문,민간,-,1950,437703,성남시 수정구 시흥동 ,298,http://lib.koica.go.kr/,031) 740-0114,031) 740-0655,성남시 수정구 시흥동 298,127.0994041,37.41527886,정좌표
research_lib_1.shp.csv,94,100,한국군사문제연구원 자료실,경기,성남시,전문,공공,-,0,467020,성남시 수정구 창곡동 ,사서함 122-11호,-,02) 405-2821,02) 404-0544,성남시 수정구 창곡동 사서함 122-11호,127.1365588,37.46977785,인근좌표
research_lib_1.shp.csv,95,100,한국농어촌공사 자료실,경기,의왕시,전문,공공,-,-,427711,의왕시 포일동 ,487,-,031) 420-4245,031) 422-7349,의왕시 포일동 487,126.9848453,37.3924477,정좌표
research_lib_1.shp.csv,96,100,한국도자재단 도자만권당,경기,이천시,전문,민간,-,1984,13539,이천시 관고동 ,산69-1,-,031-6450-551~2,031) 631-6647,이천시 관고동 산69-1,127.4263649,37.27496621,인근좌표
research_lib_1.shp.csv,97,100,한국마사회 자료실,경기,과천시,전문,공공,-,1945,411758,과천시 주암동 ,685,-,02) 509-1120~1,02)   509-1126,과천시 주암동 685,127.0167489,37.44785614,정좌표
research_lib_1.shp.csv,98,100,한국석유관리원 자료실,경기,성남시,전문,공공,-,1988,463746,경기도 성남시 분당구 안양판교로 1207 (백현동),한국석유관리원 자료실,http://www.kpetro.or.kr,031-789-0254,,경기도 성남시 분당구 안양판교로 1207 (백현동)한국석유관리원 자료실,127.0994022,37.38338593,정좌표
research_lib_1.shp.csv,99,100,한국시설안전공단 자료실,경기,고양시,전문,공공,-,1999,463500,고양시 일산구 대화동 ,2311,-,031) 910-4168,031) 910-4183,고양시 일산구 대화동 2311 ,126.7402714,37.67162196,정좌표
research_lib_1.shp.csv,100,100,한국식품연구원 도서실,경기,성남시,전문,공공,-,1990,463824,경기도 성남시 분당구 안양판교로1201번길,62,-,031) 780-9250,031) 780-9255,경기도 성남시 분당구 안양판교로1201번길62,127.0994022,37.38338593,인근좌표
research_lib_2.shp.csv,1,200,한국장애인고용공단 정보자료실,경기,성남시,전문,공공,-,1992,463908,성남시 분당구 구미동 ,구미로 173번길 59 한국장애인고용공단 정보자료실,http://libinfo.kead.or.kr,031) 728-7098,031) 728-7099,성남시 분당구 구미동 구미로 173번길 59 한국장애인고용공단 정보자료실,127.1226396,37.34821049,정좌표
research_lib_2.shp.csv,2,200,한국정보통신기술협회 기술정보실,경기,성남시,전문,공공,-,1994,437757,경기 성남시 분당구 서현동,267-2,http://www.tta.or.kr,031-724-0088,031-724-0089,경기 성남시 분당구 서현동267-2,127.1205735,37.38379682,정좌표
