No,번호,도서관명,지역,시군구,도서관구분,설립주체,운영방식,개관년도,우편번호,주소,상세주소,홈페이지,전화번호,팩스,주소2,경도,위도,상태
20,20,경주교도소,경북,경주시,교도소,국립,-,2010,780853,경북 경주시 내남면 용장리,산 6-4번지 경주교도소,-,054-740-3167,054-745-3175,경북 경주시 내남면 용장리산 6-4번지 경주교도소,129.2074176,35.78945835,정좌표
21,21,김천소년교도소,경북,김천시,교도소,국립,-,----,740702,경북 김천시 지좌동 ,588,-,054-429-5566,054-436-2260,경북 김천시 지좌동 588,128.1443631,36.1157278,정좌표
22,22,상주교도소,경북,상주시,교도소,국립,-,2014,742962,경상북도 상주시,사벌면목가2길130,-,054-537-1563,-,경상북도 상주시사벌면목가2길130,128.1993139,36.51126956,인근좌표
23,23,안동교도소,경북,안동시,교도소,국립,-,-,760707,경북 안동시 풍산읍 상리 3동 ,121,-,-,-,경북 안동시 풍산읍 상리 3동 121,128.5790101,36.58853258,정좌표
24,24,포항교도소,경북,포항시 북구,교도소,국립,-,2006,791944,경북 포항시 북구 흥해읍 학천리 ,169번지,-,054-245-7666,-,경북 포항시 북구 흥해읍 학천리 169번지,129.3239455,36.07236258,정좌표
25,25,광주교도소,광주,북구,교도소,국립,-,----,500704,광주광역시 북구 문흥동 ,Jan-88,-,062-611-0605,062-611-0650,광주광역시 북구 문흥동 88-1,126.9303782,35.18716816,정좌표
26,26,대구교도소,대구,달성군,교도소,국립,-,-,711836,대구광역시 달성군 화원읍 천내동 ,472,-,536324501,536326909,대구광역시 달성군 화원읍 천내동 472,128.5042294,35.80299903,정좌표
27,27,대구구치소,대구,수성구,교도소,국립,-,-,706806,대구광역시 수성구 만촌2동 ,768-1,-,053-740-5262,053-745-2324,대구광역시 수성구 만촌2동 768-1,128.6588361,35.85611069,정좌표
28,28,대전교도소,대전,유성구,교도소,국립,-,1983,305251,대전광역시 유성구   ,한우물길 148,http://daejeon.corrections.go.kr,042-544-9301,042-540-2367,대전광역시 유성구   한우물길 148,127.3410967,35.41488712,인근좌표
29,29,부산교도소,부산,강서구,교도소,국립,-,----,618703,부산광역시 강서구 대저 1동 ,1028,-,051)971-0151(ARS604),051)971-0453,부산광역시 강서구 대저 1동 1028,128.9496303,35.2216472,인근좌표
30,30,부산구치소,부산,사상구,교도소,국립,-,----,617737,부산광역시 사상구주례3동 ,666,-,051-309-8442,-,부산광역시 사상구주례3동 666,128.9969992,35.14594581,정좌표
31,31,서울남부교도소,서울,구로구,교도소,국립,-,0,152130,서울특별시 구로구,천왕동 272번지 서울남부교도소,-,02-2083-0364,02-2083-0341,서울특별시 구로구천왕동 272번지 서울남부교도소,126.8371837,37.4771372,정좌표
32,32,서울남부구치소,서울,구로구,교도소,국립,-,1969,8367,서울특별시 구로구 금오로 865 (천왕동),서울특별시 구로구 천왕동  272,-,02-2105-0391,-,서울특별시 구로구 금오로 865 (천왕동)서울특별시 구로구 천왕동  272,126.8371837,37.4771372,정좌표
33,33,서울동부구치소,서울,송파구,교도소,국립,-,1977,138709,서울시 송파구 정의로 37,서울동부구치소(문정로 법초타운),-,02-402-9131,-,서울시 송파구 정의로 37서울동부구치소(문정로 법초타운),127.1170136,37.48326892,인근좌표
34,34,울산구치소,울산,울주군,교도소,국립,-,1994,689860,울산광역시 울주군 청량면 문죽리,903-1,http://www.corrections.go.kr,052-228-9784,052-228-9799,울산광역시 울주군 청량면 문죽리903-1,129.2602295,35.52929767,정좌표
35,35,인천구치소,인천,남구,교도소,국립,-,1997,22220,인천광역시 미추홀구 학익소로 30 (학익동),인천광역시 미추홀구 학익동  278,-,032-868-8771,032-873-8180,인천광역시 미추홀구 학익소로 30 (학익동)인천광역시 미추홀구 학익동  278,126.6681862,37.44442825,정좌표
36,36,목포교도소,전남,무안군,교도소,국립,-,1989,534702,전라남도 무안군 일로중앙로,78 (목포교도소),-,061-287-1603,061-287-1620,전라남도 무안군 일로중앙로78 (목포교도소),126.4909748,34.85412199,인근좌표
37,37,순천교도소,전남,순천시,교도소,국립,-,1967,540708,전남 순천시 서면 백강로,790,http://www.corrections.go.kr/HP/TCOR/cor_01/cor_0101/cor_101046.jsp,061-751-2114,061-752-0357,전남 순천시 서면 백강로790,127.4969579,34.99163479,인근좌표
38,38,장흥교도소,전남,장흥군,교도소,국립,-,-,529805,전남 장흥군 장흥읍 원도리 ,191,-,-,-,전남 장흥군 장흥읍 원도리 191,126.9131549,34.68685505,정좌표
39,39,해남교도소 도서관,전남,해남군,교도소,국립,-,2011,536824,전남 해남군 옥천면 영신리,해남로 521 ,-,061ㅡ530ㅡ9436,061ㅡ534ㅡ6344,전남 해남군 옥천면 영신리해남로 521 ,126.6447413,34.57772489,정좌표
40,40,군산교도소,전북,군산시,교도소,국립,-,-,573708,전북 군산시 옥구읍 옥정리 ,65,http://gunsan.corrections.go.kr/ ,063-462-0101,063-462-0180,전북 군산시 옥구읍 옥정리 65,126.7010402,35.93619081,정좌표
41,41,전주교도소,전북,전주시 완산구,교도소,국립,-,-,560717,전북 전주시 완산구 평화동 3가 ,99,-,-,-,전북 전주시 완산구 평화동 3가 99,127.1308649,35.77946491,정좌표
42,42,정읍교도소,전북,정읍시,교도소,국립,-,2015,56213,전라북도 정읍시 소성면 저동길 45,전라북도 정읍시 소성면 저동길 45,-,063-928-9607,-,전라북도 정읍시 소성면 저동길 45전라북도 정읍시 소성면 저동길 45,126.7984023,35.5751728,인근좌표
43,43,제주교도소,제주,제주시,교도소,국립,-,1971,690162,제주도 제주시 오라 2동 ,161,http://jeju.corrections.go.kr/,064-741-2842,064-741-2839,제주도 제주시 오라 2동 161,126.4840053,33.41943224,인근좌표
44,44,공주교도소,충남,공주시,교도소,국립,-,----,314140,충남 공주시 금홍동 ,360,-,041-851-3232,-,충남 공주시 금홍동 360,127.0426825,36.47855321,인근좌표
45,45,논산지소,충남,논산시,교도소,국립,-,1999,320941,충남 논산시 성동면 우곤리 ,Apr-34,-,0417332220(내선605),417332227,충남 논산시 성동면 우곤리 34-4,127.008457,36.20346164,정좌표
46,46,서산지소,충남,서산시,교도소,국립,-,2002,31930,충청남도 서산시 성연면 두치로 343,343,http://seosan.corrections.go.kr,041-669-6891,014-669-6896,충청남도 서산시 성연면 두치로 343343,126.4803059,36.8276611,인근좌표
47,47,천안개방교도소,충남,천안시 동남구,교도소,국립,-,----,330703,충남 천안시 신당동 ,112,-,041-559-7364,041-561-4303,충남 천안시 신당동 112,127.1624315,36.85726786,정좌표
48,48,천안교도소,충남,천안시,교도소,국립,-,0,31051,충청남도 천안시 서북구 성거읍 천일고1길 127,천안교도소,-,041-567-3461,-,충청남도 천안시 서북구 성거읍 천일고1길 127천안교도소,127.1610509,36.85884399,인근좌표
49,49,홍성교도소,충남,홍성군,교도소,국립,-,1973,350808,충청남도 홍성군 충서로,1245,-,041-630-8713,041-630-8781,충청남도 홍성군 충서로1245,126.6572927,36.58754573,인근좌표
50,50,청주교도소,충북,청주시,교도소,국립,-,1978,28634,충청북도 청주시 서원구 청남로1887번길 49 (미평동),청주교도소,-,043-296-8171,043-291-8030,충청북도 청주시 서원구 청남로1887번길 49 (미평동)청주교도소,127.4757375,36.60364027,인근좌표
51,51,청주여자교도소,충북,청주시,교도소,국립,-,1989,28634,충청북도 청주시 서원구 청남로1887번길 78 (산남동),청주여자교도소,http://cheongjuwomen.corrections.go.kr,043-299-1569,043-292-8116,충청북도 청주시 서원구 청남로1887번길 78 (산남동)청주여자교도소,127.4752683,36.6045936,인근좌표
52,52,충주구치소,충북,충주시,교도소,국립,-,2004,27315,충청북도 충주시 산척면 천등박달로 222,천등박달로 222번지,http://chungju.corrections.go.kr/,043-856-9701,043-856-9770,충청북도 충주시 산척면 천등박달로 222천등박달로 222번지,127.9607949,37.08704018,인근좌표
